,carat,cut,color,clarity,depth,table,x,y,z,cut_group,color_group,clarity_group,price_predicted
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,1,2,3,283.66178318657694
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,1,1,3,663.9964854544814
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,2,1,1,16198.275729393816
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,1,2,3,6768.80263465496
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,1,2,4,8568.74380183388
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,2,1,4,1235.0443211824204
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,1,2,1,696.5780738700432
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,1,1,4,4139.644715303086
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1,1,3,1680.5304204295026
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,1,2,4,5248.649588190154
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,1,2,4,6784.603340914307
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,1,2,3,423.1076198422743
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,1,1,3,3272.9022423682254
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,1,2,2,10578.394943223555
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,2,1,3,596.7627025396432
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2,1,5,2598.4649031386834
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,1,1,4,5106.582661889428
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,2,1,4,4598.652617485988
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1,2,2,2010.324393485238
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1,1,1,1351.0865432299906
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,1,1,2,4750.782282784319
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,2,2,4,561.3150939421248
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1,2,3,1836.0701896244973
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,1,2,1,9608.548352244468
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,1,1,2,404.0526201198081
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1,1,3,1872.0652749192268
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,1,2,4,6399.897213887543
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1,1,2,736.2019100590915
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,1,2,3,454.4613522844975
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,1,2,4,240.4688507009414
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,2,1,4,5692.934911660395
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,1,2,3,574.1293569219615
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,1,1,4,727.0398385630579
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,1,1,2,5053.59373271631
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,1,2,3,289.23911588995543
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1,1,3,1359.2545132188861
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,2,1,4,884.0047577570258
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1,2,3,1991.3952884799728
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,1,1,1,753.292441386322
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1,2,2,924.9737734199462
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,1,1,3,774.712596009369
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,2,2,3,4195.576574325114
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,1,2,4,2828.9849500191795
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,1,1,4,2180.216116659336
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,2,2,3,613.2276738191467
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2,2,4,2288.5947619279395
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,2,1,3,2944.4287036502938
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,2,2,3,4310.802644446705
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2,1,4,2481.0161866257786
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,1,2,3,10009.638236620769
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,2,1,4,9781.804047232956
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1,1,3,914.9133335488732
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,1,2,3,5422.572573887253
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,1,2,4,17538.549937711075
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,1,1,2,9384.910099642535
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1,1,3,860.4032922375009
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,1,1,4,2200.2178295462254
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,2,1,3,6790.535592288659
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,2,2,3,6335.827363038206
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,1,2,3,6265.466695352818
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2,1,3,2947.696066631619
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,1,1,4,4880.392233966129
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,1,2,3,10475.970868578286
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1,2,2,1102.7455052415808
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,2,2,3,831.9868823066208
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,2,1,4,169.51530837576502
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,1,2,3,425.4986286181138
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,1,1,3,3074.9889656403957
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,1,2,2,888.9656547351533
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,1,2,4,5402.109725423976
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1,1,3,1424.8996943552665
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,2,2,5,3364.834978419057
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1,1,3,1533.828858542478
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,2,1,2,780.1708421283838
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,3,1,4,1012.8527952963868
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,2,1,3,7712.75106569862
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,1,2,3,158.59299611392453
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1,2,3,1483.3983002305358
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,1,2,3,10277.708335665247
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,1,1,4,5124.741400842602
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,2,2,2,389.34827443553877
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1,2,1,1243.3251029221228
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,1,1,3,7287.912129359071
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,1,2,4,5403.289654549204
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2,2,4,4433.925244043963
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,1,1,3,3060.397017644409
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,2,2,2,697.7360452760877
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,1,2,4,4854.841393220653
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,1,1,3,3715.311151665357
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1,1,3,992.8799427858321
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1,2,4,1287.0700295070528
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1,1,3,1696.8605450474824
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,1,1,4,4893.285869600462
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,1,2,3,5258.830891064321
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,1,2,3,5409.326879876637
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,2,1,3,3334.2199889496987
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,1,2,4,4230.42844367537
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,2,1,4,607.6768883974437
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,1,1,3,10012.600035486215
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,1,1,3,920.0849047935153
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,1,2,4,4370.186660858197
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,2,1,2,8756.18827979971
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,2,1,1,574.5717940866089
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,2,1,3,759.148847436074
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,1,1,2,3081.7408209023306
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,1,2,4,3436.870503547303
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,1,2,2,3421.609986216079
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,2,1,4,3327.9588818925695
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,1,2,4,4570.519987157535
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,2,1,3,3205.3379599786786
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1,1,4,948.9386544943409
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,1,1,3,884.2963201482307
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,3,1,4,10432.22059767977
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,1,2,4,5337.881911321441
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1,1,4,1299.4885260348674
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,2,2,3,460.6632794288853
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,1,2,3,10304.810145742642
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,3,2,4,11636.336523466705
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,1,2,3,313.6725304143347
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,2,2,5,1278.312558685756
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,1,2,4,6141.655595659437
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,1,1,3,710.0168944342986
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2,2,3,1982.6856536383693
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,1,1,4,3449.5889579592404
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,2,2,2,899.344939850027
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,1,2,1,814.3287727028746
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,1,2,4,6231.997389229917
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,2,1,4,9742.792726003565
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,1,2,3,1967.028901682217
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,1,2,2,747.6354759282822
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,1,2,2,2076.8261248406216
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,1,1,4,4384.294781907171
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,2,1,4,1270.6976359764703
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,2,2,4,4441.101371083074
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,2,2,3,5671.488831061035
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,1,2,4,5847.210205530901
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,3,2,3,13856.44984134778
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,1,2,3,10357.212396597235
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,2,2,4,13141.825233427971
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,2,1,2,526.4444593247899
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,3,2,3,2056.3757820684414
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,1,2,2,3391.7987385915676
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,3,2,5,7327.613867202524
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1,2,3,2031.805619974568
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1,1,3,1904.6269045297122
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,2,2,4,5773.394898286824
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,2,1,3,1556.6090874285692
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,1,1,4,10528.590982595484
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1,2,5,1026.3935419528789
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,2,2,4,8849.61297686944
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,2,1,3,6702.551695888393
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,1,1,3,13870.307123747862
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,2,1,3,3017.7904896069667
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,1,1,4,870.5877102734448
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,1,2,4,13117.663193383294
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,1,2,3,212.0506878342694
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1,1,2,1711.2151547806716
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,1,1,2,4843.408551811452
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,1,2,4,5687.443092591107
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,1,2,3,5880.1557751378605
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1,1,5,1722.0734489238457
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1,1,4,1230.3460419327566
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,1,2,4,4675.304212596744
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,1,1,4,4329.566097632698
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,1,1,3,3367.550471540366
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,2,1,4,1419.8389851262564
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2,2,3,2450.9777139059715
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,1,2,4,3284.257871102898
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,1,2,4,4684.068750035187
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,1,2,4,3125.5433611438075
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,1,2,3,6195.960016972824
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,1,1,4,2250.1244396037982
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,1,2,3,5425.966911716772
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,1,1,5,2655.263020166247
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,1,1,5,3612.043088645427
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,1,2,4,14133.439010441862
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,1,1,2,685.8049694789261
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3,2,3,4015.4190501258045
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,1,1,3,3311.4232111677447
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,1,2,3,12657.55515203529
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,1,2,4,2906.1368896157455
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,2,2,2,3383.3080807355254
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,1,2,3,888.3759121108724
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,1,2,3,591.5865263954256
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,1,1,3,964.3337516896245
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,2,2,3,7770.011649977854
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,1,2,4,10156.817752888526
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,1,1,4,5186.1913152263805
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,2,1,4,801.4526486865907
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,1,1,4,2316.4952999134402
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,1,2,3,5507.6612299068365
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2,2,4,3631.312060155913
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,1,1,2,643.2858382477352
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,1,2,2,696.5517310302694
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2,2,4,2059.404609562007
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,1,2,1,6905.810308974758
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,2,2,4,8292.947084569936
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,2,1,3,5224.8177277121395
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,2,1,2,258.10626507654524
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,2,1,2,308.7262081849549
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,1,1,2,793.7045371316781
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2,1,4,2604.2527518551087
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,2,2,1,1193.4634002987182
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,1,1,3,876.557864591221
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,1,2,2,6026.458360091057
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1,1,4,1244.1214248578326
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,1,1,5,7054.2348682187585
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,2,1,4,1047.1564349221608
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,1,1,3,3103.655856322841
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,2,2,3,1384.582006879249
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,1,1,4,4877.7304022817625
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,1,1,3,759.3620865716039
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,2,2,4,4126.300943829501
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,2,1,4,7054.624151068445
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,2,2,4,4398.321974269253
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,1,2,3,5957.351463003373
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,2,2,4,2890.7521649514238
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,1,1,3,1875.698201627969
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,2,1,4,3197.3392824117927
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,1,1,4,504.9943776763539
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,1,2,3,3323.451554421905
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,1,2,4,5878.4304996855935
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,2,2,3,10143.869445568045
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,1,2,2,9050.742093829887
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,1,1,4,2378.9654650092416
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1,2,3,1739.9354842218472
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1,1,3,1415.6125539172062
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1,2,1,1351.3357034138407
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,2,1,3,853.4901033517235
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1,1,4,1503.4362750030705
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,1,1,4,2428.7759068591513
