,event_name,date,description,line_up,event_link,place,city,park_name,park_link,park_latitude,park_longitude,attracion_link,event_latitude,event_longitude
0,The Breakfast Club - New Years Day 2020 with John Tejada & More,1/1/2020,"We're back! What started at ETG has been carrying on at Monkey Loft. For the 9th year in a row, Shameless is continuing our tradition of throwing a New Years DAY party and it'll once again take place on our favorite rooftop rain or shine. This year we're continuing to curate 3 rooms of music to help our friends/family start 2020 off right! Just Ups & Still Ups unite! /  / Limited advance tickets allow ticket holders access to a separate entry line. There will also be plenty of tickets available at the door starting at 4a.","John Tejada, Tara Brooks, Jay Tripwire, Mary Droppinz, Nordic Soul, Pezzner, Red Star, Kinjo, Konifer, Unknown ?layer, Julie Herrera, Tek Jones, Claudia Martinez, Arson Nicki, LGSP Featuring Annabelle Lea on vocals, Moist Towelette, Meow Pals, Aivilo, Snapdragon, Ramiro, Jon Lee, Wesley Holmes, Recess",https://www.residentadvisor.net/events/1358885,The Monkey Loft,seattle,Camp Gateway- Brooklyn Ny,https://www.rei.com/campgrounds/camp/115196040/camp-gateway-brooklyn-ny,40.5958,-73.8858,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.577129', '-122.334469'
1,Chillography and Re-bar present Dub Techno All Night,1/3/2020,"The perfect way to chill after the end of 2019. Lush, dubby, spacy sounds from some of Seattle's classics. /  / Alex Flores (Depth, p|M) /  / Summit Dub (LovingTouch/Ahaad) / https://soundcloud.com/mchateau /  / Dane Garfield Wilson (Flammable, Re-bar) / http://www.mixcloud.com./danegarfiedwilson /  / Waste Management  / https://www.mixcloud.com/wastemanagement/ /  / Re-bar Seattle (est. 1990) 1114 Howell St Seattle WA 98101 / www.rebarseattle.com  / 21+w/ID / Free / ADA Accessible","Summit Dub, Alex Flores, Waste Management, Dane Garfield Wilson",https://www.residentadvisor.net/events/1365599,Re-Bar,seattle,Camp Gateway - Staten Island,https://www.rei.com/campgrounds/camp/115197387/camp-gateway-staten-island,40.6036,-74.0588,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.6166458', '-122.3310731'
2,Tenth Aesthetic: Dean Grenier,1/3/2020,"To start off the new year /just/ right, we are excited to have Dean Grenier come rock the decks with us at Kremwerk. /  / With his roots as a pioneering producer and DJ of American underground bass music, Dean Grenier continues his musical evolution into new techno-infused architectural landscapes. Recent releases on OMNIDISC, SISTER CITY LIMITED, BOYSNOIZE RECORDS and BROMANCE have brought new international attention and acclaim. /  / In addition to solo works Dean founded the record label and production outfit SISTER CITY along with collaborators EPROM and HEJ FUND. He is also a member of LA-based techno collective SUBSTANCE with a monthly night at famed Hollywood venue Sound Nightclub. /  / Dean Grenier’s DJ sets reflect a focus on deep and driving techno for which his recent production explorations have become known. His DJ talents have brought him all over the world, including the legendary club FABRIC in London and numerous tours around Europe and North America. /  / Soundcloud: https://soundcloud.com/deangrenier /  / With support from Sharlese, Ol' Skinny, Cereus /  / 15$ at the door /  / ========= / The Kremwerk + Timbre Room Complex strives to be a safer space. The following actions or display of behavior will not be tolerated: bigotry, racism, sexism, transphobia, homophobia, misogyny, ableism, as well as the disrespect of the rules of consent. Our staff is here to support you.  /  / Kremwerk is currently not an ADA accessible space. Club entry is through a flight of 12 metal stairs, with two small steps leading into the main part of the club. We have 2 restrooms with a total of 3 stalls and 1 urinal, all gender neutral. /  / For any questions about safety & accessibility, please email [email protected]","Dean Grenier, , Sharlese, , Ol' Skinny, , Cereus",https://www.residentadvisor.net/events/1358947,Kremwerk,seattle,Camp Gateway - Sandy Hook,https://www.rei.com/campgrounds/camp/115197386/camp-gateway-sandy-hook,40.4492,-73.9961,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.6168713', '-122.3311299'
3,Bounce Brunch Winter Onesieland ft Mind,1/4/2020,"**FREE** Time to get warm and cozy inside, so ONESIES it is!  / Eggs BEATS and bacon with tasty drinks  / *OPEN DECKS 12-1pm see below for details* / **KID & DOG FRIENDLY** /  / GUEST DJ's  / The MIND at LARGE crew! /  / Resident: DJ Trinitron /  / MASSAGE CHAIR by TBA /  / THE ORIGINAL HOUSE MUSIC BRUNCH / living the dream since 2011 / *No reservation needed..... we'll cram ALL of you up in here on the patio, inside, in the bar, in the back by the fire pit, on the stoop... /  / **OPEN DECKS: first come first served sign ups. Please do not play above 128bpm, no trap, no dubstep. It's a day party, please bring the right vibe: deep house, minimal, chillout, old school R&B, soul, funk, disco. If it sounds like an angry robot, it's not the right track","Mind at Large, DJ Trinitron",https://www.residentadvisor.net/events/1360736,Large,seattle,Theodore Roosevelt Home,https://www.rei.com/campgrounds/camp/115208172/theodore-roosevelt-home,40.8855,-73.5012,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.5188218', '-122.3564818'
4,Reflect 1st S,1/4/2020,The Reflect crew will be crawling out of hibernation to summon in some winter magic. Come dance with us! /  / This month we’re excited to host Black Velveteen as our guest DJ. Come transcend the winter in the Vermillion back bar.,"Black Velveteen, Citrus Age b2b DYR, Sloth b2b Oli.E, ",https://www.residentadvisor.net/events/1364835,urdays,seattle,Camp Gateway- Brooklyn Ny,https://www.rei.com/campgrounds/camp/115196040/camp-gateway-brooklyn-ny,40.5958,-73.8858,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.6144145', '-122.3179029'
5,Bloom fe,1/4/2020,"A cerebral sonic experience, we welcome you to expand your petals and reach towards the unknown. On this night, we welcome you to BLOOM. /  / BLOOM is a techno-oriented and genre-spanning engagement, featuring very special guests with support from resident selector Gag Reflex. /  / For this next installment of BLOOM, we welcome: /  / P. Ross / https://soundcloud.com/p_ross /  / Bloom Resident: / Gag Reflex [TUF, Airtight] /  / Saturday, January 4 / 10PM / $8 at the Door / =========== / Timbre Room / 1809 Minor Ave / Seattle, WA / 21+  / =========== / Timbre Room does not tolerate bigotry, sexism, homophobia, transphobia, racism, misogyny, ableism, or any discriminatory actions. Security is strictly enforcing these rules, and those who do not abide by these rules will be told to leave.  /  / Timbre Room is ADA accessible with a ramp to the front door/bar area, and access to the back door/dance area through the patio area, and 2 accessible gender neutral restrooms available. If you have any questions about the safety or accessibility of this venue, please email [email protected]","TIMBRE ROOM | P. Ross, Gag Reflex",https://www.residentadvisor.net/events/1368176,. P. Ross,seattle,Camp Gateway - Staten Island,https://www.rei.com/campgrounds/camp/115197387/camp-gateway-staten-island,40.6036,-74.0588,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.6168713', '-122.3311299'
6,Andrei Swipe and Nikolay Cloud Rock Flammable,1/5/2020,"The longest running house music weekly is at the Re-bar every Sunday night! Now in its 24th year, expect lush sounds straight from the locals to international headlining DJs/ producers every week. /  / Flammable is proud to present: / Andrei Swipe AKA Rewired (RTS.fm) / https://soundcloud.com / /andreiswipe /  / Nikolay Cloud (Viva!) / https://soundcloud.com/nikolaycloud /  / Eugene Mich (Looters) / https://soundcloud.com/mchateau /  / Brian Lyons (Flammable) / https://soundcloud.com/brian-lyons-755172844 /  / Re-bar 1114 Howell St Seattle WA 98101 / www.rebarseattle.com / 21+ w / ID / $TBD / ADA Accessible","Andrei Swipe, Rewired, Nikolay Cloud, Brian Lyons",https://www.residentadvisor.net/events/1364552,Re-Bar,seattle,Camp Gateway - Sandy Hook,https://www.rei.com/campgrounds/camp/115197386/camp-gateway-sandy-hook,40.4492,-73.9961,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.6166458', '-122.3310731'
7,"DnB Tuesdays with Lunchmoney, Press, Krunchy",1/7/2020,"01.07.2019 /  / ► Lunchmoney / https://soundcloud.com/lunch-money / https://www.mixcloud.com/LunchMoneyDnB /  / ► Press / Shift // Onset Audio // Gradient Audio /  / ► Krunchy / Krunchy Audio / https://www.facebook.com/DJ-KRUNCHY-225771520553/ /  / -- / Cover $5 | Drink Specials | 21+ | Every Tuesday / Open Decks 9-10PM - CD or USB only / __________________________________________ / Thank YOU for your support of DNB Tuesdays! / Follow us here: / https://twitter.com/DnBtuesdays / https://www.facebook.com/dnbtuesdays / http://instagram.com/dnbtuesdays_sea/ / https://soundcloud.com/dnbtuesday / https://twitch.tv/dnbtuesdayssea / DNB Tuesdays - Bringing you over 21 dedicated years of Drum and Bass artists, and local talent in Seattle! /  / Re-bar 1114 Howell St Seattle WA 98101 / www.rebarseattle.com / 21+ w/ID / ADA Accessible","Lunchmoney, Press , Krunchy",https://www.residentadvisor.net/events/1365598,Re-Bar,seattle,Theodore Roosevelt Home,https://www.rei.com/campgrounds/camp/115208172/theodore-roosevelt-home,40.8855,-73.5012,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.6166458', '-122.3310731'
8,"Tenth Aesthetic: Local Incursion with Demah, Floston, Binah",1/9/2020,"At Tenth Aesthetic we're all about celebrating Techno. Sometimes we do this by booking national and international artists. This time the spotlight is for locals. /  / On decks we have Demah, Floston and resident Binah. /  / Check out Demah's latest mix and hear for yourself why she's an upcoming force: https://www.mixcloud.com/demah/social-revolution/ /  / Floston's sound is one that is evolving rapidly and going deeper and deeper into techno realms. https://soundcloud.com/flostonofficial /  / Binah shouldn't need much more introduction, but if you only know her for Breaks, you should definitely check out her techno sound: https://www.mixcloud.com/Binah/binah-depth-may-24-2018/ /  / This night is in collaboration with Haused, and discounted combo tix will be available for those who wish to visit both Timbre Room and Kremwerk. /  / 5$ before 10pm, 10$ after / Combo tix: 15$ /  / =========== / Timbre Room / 1809 Minor Ave / Seattle, WA / 21+ w/ID / =========== / Timbre Room does not tolerate bigotry, sexism, homophobia, transphobia, racism, misogyny, ableism, or any discriminatory actions. Security is strictly enforcing these rules, and those who do not abide by these rules will be told to leave.  /  / Timbre Room is ADA accessible with a ramp to the front door/bar area, and access to the back door/dance area through the patio area, and 2 accessible gender neutral restrooms available. If you have any questions about the safety or accessibility of this venue, please email [email protected]","Demah, Floston, Binah",https://www.residentadvisor.net/events/1368178,Kremwerk,seattle,Camp Gateway- Brooklyn Ny,https://www.rei.com/campgrounds/camp/115196040/camp-gateway-brooklyn-ny,40.5958,-73.8858,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.6168713', '-122.3311299'
9,Field Trip 102: Tony Romera,1/9/2020,"Q Nightclub presents Field Trip featuring /  / Tony Romera / https://soundcloud.com/tonyromera / https://www.facebook.com/TonyRomera/ / https://twitter.com/tonyromera / https://www.instagram.com/tonyromera/ /  / Tony Romera first stepped onto the scene 8 years ago as a fresh-faced 20 year old looking to make waves and disrupt the conventional EDM world with his unique style and French-house inspired beats. /  / Since then he's been busy releasing music and experimenting with different sounds and styles, attracting power house labels such as OWSLA, Mad Decent, and Confession. Not to mention official remixes for Calvin Harris, Nicky Romero, Diplo, KUNGS and Fedde Le Grand on their respective labels. His latest music has gained new admirers in the likes of Diplo, Skrillex, and most importantly his french peers a.k.a. the Pardon My French Crew, DJ Snake, Mercer, Tchami, and Malaa. /  / His releases in the past year on OWSLA, Confession, Monstercat and Insomniac Records have really brought him a whole new fan base and respect among producers.  /  / Tony started his own label SANS MERCI to discover some young cool artists, release the tracks of his friends, and of course put out his own tracks. SANS MERCI keeps a particular vibe, each track is different from the last while staying true to their vision. With tracks from Keeld, Bellecour, Basstrick, GODAMN and more... SANS MERCI has just begun. /  / With support from  / SILVER B2B ROHRY / GRAYMATTER B2B JAMES GATZ / JAY PEEKI /  / ---- /  / Field Trip is our night for electronic music - mostly house, trance, breaks, and bass house. Recent headliners include Tchami, AC Slater, Pete Tong, Luttrell, and Sander Van Doorn.",Tony Romera,https://www.residentadvisor.net/events/1357573,Q Nightclub,seattle,Camp Gateway - Staten Island,https://www.rei.com/campgrounds/camp/115197387/camp-gateway-staten-island,40.6036,-74.0588,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.613746', '-122.3203363'
10,"Haüsed: LGSP B2B Julie Herrera, Zeebo B2B Everett Leftside",1/9/2020,"Haüsed, your new weekly destination for house & techno EVERY Thursday at Kremwerk ️🎉! /  / LGSP B2B Julie Herrera / https://soundcloud.com/discodancin / https://soundcloud.com/lgsp-music /  / Zeebo B2B Everett Leftside / https://soundcloud.com/everettleftside / https://soundcloud.com/zeedashbo /  / Happy Hour Specials until 11 PM... / 🍺$8 Beer-Shot Combo / 🍹Discounted Wells /  / $5 before 10 PM, $10 After /  / Kremwerk / 1809 Minor Ave. / Seattle, WA / kremwerk.com/ / 21+ /  / ……………………………………… /  / Sign up for the Kremwerk + Timbre Room Complex mailing list on our website, to stay in the loop about upcoming events, ticket giveaways and more! / http://www.kremwerk.com/ /  / ……………………………………… /  / Kremwerk strives to be a safe space. The following actions or display of behavior will not be tolerated: bigotry, racism, sexism, transphobia, homophobia, misogyny, ableism, as well as the disrespect of the rules of consent. Our staff is here to support you.  /  / Kremwerk is currently not an ADA accessible space. Club entry is through a flight of 12 metal stairs, with two small steps leading into the main part of the club. We have 2 restrooms with a total of 3 stalls and 1 urinal, all gender neutral. If you would like access to single-stall restrooms, please don't hesitate to ask our door & security to allow entry upstairs into Timbre Room, which has 2 single-stall gender-neutral restrooms.  /  / For any questions about safety & accessibility, please email [email protected]","LGSP , , Julie Herrera, , Zeebo , , Everett Leftside",https://www.residentadvisor.net/events/1361285,Kremwerk,seattle,Camp Gateway - Sandy Hook,https://www.rei.com/campgrounds/camp/115197386/camp-gateway-sandy-hook,40.4492,-73.9961,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.6168713', '-122.3311299'
11,Noise Complaint fe,1/10/2020,"Noise Complaint and the Kremwerk/Timbre Room Complex are proud to present, two rooms of thoughtfully curated music featuring: /  / DILLON NATHANIEL / www.dillonnathaniel.com / www.facebook.com/dillonnathanielmusic / www.instagram.com/dillonnathaniel / www.twitter.com/DillonNathaniel / www.soundcloud.com/dillonnathaniel /  / A technical whizz in the studio and a modern house music connoisseur, Dillon Nathaniel has been establishing his talent across the US and beyond. His thick grooves and quirky soundscape has even caught the attention of Solardo, A-Trak, Idris Elba, Chris Lake, Mark Knight and more whilst spilling on to the crossover circuit with impressive support from BBC Radio 1 and Rinse FM. /  / While it may seem like this young house technician has seen a quick rise, his roots run deep. The former audio engineer and gear junkie found his footing in music at an early age as a vocalist and guitar player. His father hoped to impress upon him a strong emphasis in dance music exposing the budding musician to the likes of Carl Cox and Sasha on road trips from the age of 8. He eventually brought Dillon to EDC at the age of 16. It was this that provided the ultimate inspiration to pursue a career in dance music. /  / With an ability to work multiple sub genres flawlessly, Dillon Nathaniel’s versatile productions have landed him releases on a variety of labels including Sola, 7Wallace, Toolroom, Big Beat, This Ain’t Bristol, Box of Cats, Insomniac, and many others. /  / 2019 has shaped up to be Dillon’s best year yet. Starting off with his own headline Australian tour and quickly bringing that momentum to the US with key festival performances at CRSSD in San Diego, AMF’s Friendship Maiden Voyage, Coachella’s Heineken House, and EDC Las Vegas (his self renowned biggest accomplishment to date). Between the extensive festival plays Dillon continues to perform at the most acclaimed dance venues across the US. /  / LOCAL SUPPORT FROM: /  / ROHRY b2b SIX FOUR / ÅSE / NIGHT AUDIT /  / ---------------------------------------------- /  / UPSTAIRS IN THE TIMBRE ROOM /  / FRIDA'S HOUSE OF FREAKS /  / AuSteele b2b Inaudible / Ennelyn b2b Zof / Frida K / Hherb  /  / --------------------------------------------- /  / VERY LIMITED $10 TIER 1 Tickets available NOW  /  / Ticket Prices: /  / $10 Tier 1 / $15 Online Pre-Sale  / $20 Day of Show @ Door  /  / 21+ /  / -- / ABOUT NOISE COMPLAINT  /  / Gone is the party where the music and the people at the party mattered more than making money. As Electronic Dance Music has exploded in popularity over the last several years, so have crowds and ticket prices along with it. In the beginning, events were held in underground, often intimate venues. It was about the music, and it was about each other.  /  / Noise Complaint is taking it back to its roots, bringing the people quality, dance floor focused house and techno all while pushing that party-don't-stop vibe that everyone loves. We're bringing in huge talent - DJs and producers that are well known and respected but that we also personally vibe with. We're doing this at a small price, and in an intimate space. It's about the music for us, it's about the party and the vibe and the memories and friends you will make. Every Noise Complaint should be the best party you've been to since well, the last Noise Complaint. /  / We're more than just a party, we're a movement.  /  / Join us 2nd Fridays at Kremwerk and become part of the family.","Dillon Nathaniel, Rohry, Six Four, Ase, Night Audit, AuSteele, Inaudible, Ennelyn, Zof, Frida K, Hherb",https://www.residentadvisor.net/events/1357506,. Dillon N,seattle,Theodore Roosevelt Home,https://www.rei.com/campgrounds/camp/115208172/theodore-roosevelt-home,40.8855,-73.5012,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.6168713', '-122.3311299'
12,Noise Complaint fe,1/10/2020,"Noise Complaint and the Kremwerk/Timbre Room Complex are proud to present, two rooms of thoughtfully curated music featuring: /  / 😈 DILLON NATHANIEL 😈 / www.dillonnathaniel.com / www.facebook.com/dillonnathanielmusic / www.instagram.com/dillonnathaniel / www.twitter.com/DillonNathaniel / www.soundcloud.com/dillonnathaniel /  / A technical whizz in the studio and a modern house music connoisseur, Dillon Nathaniel has been establishing his talent across the US and beyond. His thick grooves and quirky soundscape has even caught the attention of Solardo, A-Trak, Idris Elba, Chris Lake, Mark Knight and more whilst spilling on to the crossover circuit with impressive support from BBC Radio 1 and Rinse FM. /  / While it may seem like this young house technician has seen a quick rise, his roots run deep. The former audio engineer and gear junkie found his footing in music at an early age as a vocalist and guitar player. His father hoped to impress upon him a strong emphasis in dance music exposing the budding musician to the likes of Carl Cox and Sasha on road trips from the age of 8. He eventually brought Dillon to EDC at the age of 16. It was this that provided the ultimate inspiration to pursue a career in dance music. /  / With an ability to work multiple sub genres flawlessly, Dillon Nathaniel’s versatile productions have landed him releases on a variety of labels including Sola, 7Wallace, Toolroom, Big Beat, This Ain’t Bristol, Box of Cats, Insomniac, and many others. /  / 2019 has shaped up to be Dillon’s best year yet. Starting off with his own headline Australian tour and quickly bringing that momentum to the US with key festival performances at CRSSD in San Diego, AMF’s Friendship Maiden Voyage, Coachella’s Heineken House, and EDC Las Vegas (his self renowned biggest accomplishment to date). Between the extensive festival plays Dillon continues to perform at the most acclaimed dance venues across the US. /  / LOCAL SUPPORT FROM: /  / 👬 ROHRY b2b SIX FOUR 👬 / 🧝🏻‍♀️ ÅSE 🧝🏻‍♀️ / 😎 NIGHT AUDIT 😎 /  / ---------------------------------------------- /  / UPSTAIRS IN THE TIMBRE ROOM /  / 👽 FRIDA'S HOUSE OF FREAKS 👽 /  / ☠️ AuSteele b2b Inaudible ☠️ / 👯‍♀️ Ennelyn b2b Zof 👯‍♀️ / 🌹 Frida K 🌹 / 🌿 Hherb 🌿 /  / --------------------------------------------- /  / 🎟 VERY LIMITED $10 TIER 1 Tickets available NOW 🎟 /  / Ticket Prices: /  / $10 Tier 1 / $15 Online Pre-Sale  / $20 Day of Show @ Door  /  / 21+ /  / -- / 🔇 ABOUT NOISE COMPLAINT 🔇 /  / Gone is the party where the music and the people at the party mattered more than making money. As Electronic Dance Music has exploded in popularity over the last several years, so have crowds and ticket prices along with it. In the beginning, events were held in underground, often intimate venues. It was about the music, and it was about each other.  /  / Noise Complaint is taking it back to its roots, bringing the people quality, dance floor focused house and techno all while pushing that party-don't-stop vibe that everyone loves. We're bringing in huge talent - DJs and producers that are well known and respected but that we also personally vibe with. We're doing this at a small price, and in an intimate space. It's about the music for us, it's about the party and the vibe and the memories and friends you will make. Every Noise Complaint should be the best party you've been to since well, the last Noise Complaint. /  / We're more than just a party, we're a movement.  /  / Join us 2nd Fridays at Kremwerk and become part of the family.","Dillion Nathaniel, , ROHRY b2b SIX FOUR, , ÅSE, , NIGHT AUDIT",https://www.residentadvisor.net/events/1357599,. Dillon N,seattle,Camp Gateway- Brooklyn Ny,https://www.rei.com/campgrounds/camp/115196040/camp-gateway-brooklyn-ny,40.5958,-73.8858,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.6168713', '-122.3311299'
13,Pop Secret: Throttle,1/10/2020,"Q Nightclub presents Pop Secret Party featuring /  / Throttle / https://soundcloud.com/throttle / https://www.facebook.com/throttleofficial / https://twitter.com/throttle / https://www.instagram.com/throttle/ /  / Australian producer Throttle has become one of the hottest names in dance music. Collaborating with the likes of Galantis and Oliver Heldens, officially remixing Ed Sheeran and performing at Tomorrowland all before his 21st birthday, it's no wonder Throttle is regularly labeled ‘the next big thing’ in electronic music. Using a unique blend of organic and electronic sounds, he puts his own unique stamp on every production. Throttle isn’t about what’s trending now, but what’s cool indefinitely. /  / ---- /  / Pop Secret focuses on feel-good music regardless of genre, blending pop, hip-hop, house, and future bass into an upbeat mix. Recent headliners include A-Trak, Sango, Vincent, Hucci, The Knocks, Mr. Carmack and Esta.",Throttle,https://www.residentadvisor.net/events/1350650,Q Nightclub,seattle,Camp Gateway - Staten Island,https://www.rei.com/campgrounds/camp/115197387/camp-gateway-staten-island,40.6036,-74.0588,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.613746', '-122.3203363'
14,Blackout: Dark Energy,1/11/2020,It's our 1 year Anniversary so come party with us. We have 3 local DJS that will take you on a journey. We can't wait. Bring your fans BOYS because it's going to get hawt in here. Give our DJS a listen and follow them on soundCloud.  /  / Early Bird Tickets $13 / General Admission online-$15 / Door- $20  /  / Nick Cressman- It will be debut with Blackout so make sure and show up early and show the newest DJ how we party here in Seattle. 10-11 PM House Music / https://soundcloud.com/nickcressman /  / Messly- This will be Messly 2nd time spinning with Blackout. He had a killer set at Verotica's Halloween party. Let's have a Kiki and show all the local DJS support. 11 PM-1AM Circuit Music / https://soundcloud.com/messly /  / Robbie Nielsen- He will be throwing it down with some dark beats. He always has something special for you all. Let's dance the night away and have a fun safe night. 1 AM-4 AM / Circuit Music / https://soundcloud.com/djrobbienielsen,"Nick Cressman, , Messly, , Robbie Nielsen",https://www.residentadvisor.net/events/1361286,Kremwerk,seattle,Camp Gateway - Sandy Hook,https://www.rei.com/campgrounds/camp/115197386/camp-gateway-sandy-hook,40.4492,-73.9961,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.6168713', '-122.3311299'
15,Wellev,1/11/2020,"Inspired by NYC's ""Sober Curious"" movement, Vika & Krystina create space for a refreshing new scene in Seattle! WELLEVATION : ZERØ-PRØØF PRODUCTIONS cultivate & elevate our community connections through wellness, art, music, Ø-PRØØF exotic libations & culinary delights! /  / We will have a line-up of fantastic DJ/Producers and Live Entertainment for your pleasure. Warming up the night with ambiance and conversation, building a tapestry of sound for your cozy connections while you enjoy tasty bites and sips. As the night progresses, free yourself on the dance floor! A custom curated selection of electronic sounds will fill your soul and keep you Wellevated! All the best mixes, ranging from minimal and tribal techno, synth-wave, EDM, deep house and beyond! We will keep you moving on the dance floor! /  / Tasty & Exotic Craft Elixirs provided by Castleberry's Apothecary & Cheshire Chocolate Co. /  / Catered appetizers and two drink tickets included in ticket price. Very limited tickets available for this intimate party.","Olivia Aivilo (Shameless Productions) B2B Alex Flores (DEPTH // p|M), , Citrus Age (Reflect)",https://www.residentadvisor.net/events/1363262,ion: Renewal,seattle,Theodore Roosevelt Home,https://www.rei.com/campgrounds/camp/115208172/theodore-roosevelt-home,40.8855,-73.5012,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.600995', '-122.335129'
16,Flammable presents Wesley Holmes Birthday Bash,1/12/2020,"The longest running house music weekly is at the Re-bar every Sunday night! Now in its 24th year, expect lush sounds straight from the locals to international headlining DJs/ producers every week. /  / Flammable is proud to present: / Wesley Holmes Birthday Bash with a veritable cavalcade of the Seattle House music scene. /  / Wesley Holmes (Flammable) / https://soundcloud.com/wesley-holmes /  / Mz ArTiz / https://soundcloud.com/dj-artiz /  / Ramiro (Uniting Souls Music) / https://soundcloud.com/ramiroseattle /  / Griffin Grrrrrrrrrrrrrrrrrrrrrl (Uniting Souls // LOST) / https://soundcloud.com/griffingrrl /  / Julie Herrera / https://soundcloud.com/discodancin /  / Kadeejah Streets (Innerflight) / https://soundcloud.com/kadeejah-streets /  / Brian Lyons (Flammable) / https://soundcloud.com/brian-lyons-755172844 /  / Re-bar 1114 Howell St Seattle WA 98101 / www.rebarseattle.com / 21+ w / ID / $TBD / ADA Accessible","Wesley Holmes, Mz ArTiz, Ramiro , Griffin Grrrrrrrrrrrrrrrrrrrrrl, Julie Herrera, Kadeejah Streets, Brian Lyons ",https://www.residentadvisor.net/events/1364553,Re-Bar,seattle,Camp Gateway- Brooklyn Ny,https://www.rei.com/campgrounds/camp/115196040/camp-gateway-brooklyn-ny,40.5958,-73.8858,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.6166458', '-122.3310731'
17,"DnB Tuesdays with Cyantific, S-Doobie, Meraki, 1khz",1/14/2020,"01.14.2019 /  / ► CYANTIFIC / Hospital // Viper  / www.cyantific.co.uk /  / Cyantific AKA Jon Stanley, has been at the forefront of drum and bass for over a decade. Known for devotion to his decks, pinpoint accuracy in the mix and his ability to construct dance floor anthems has seen Cyantific DJ around the globe. /  / In 2006, Cyantific released his debut album, ‘Ghetto Blaster’ on Hospital Records, and went onto win the BBC 1Xtra Best Newcomer DJ award in 2007. Releases followed on legendary labels like Critical and Ram. /  / In 2010, CYN Music was established where his skills both as a talent selector and solo producer shone through. /  / In December 2014, Cyantific signed exclusively with Viper Recordings, and made his debut with ‘Bring You Love’, followed by his #1 single ‘High Water Mark’, alongside his remix of Brookes Brothers – ‘Anthem’ which was selected on BBC 1Xtra‘s “A” playlist. /  / In addition to that he has done official remixes for two UK Top 10 hits with Mike Mago & Dragonette’s ‘Outlines’ & Dr Kucho! & Gregor Salt‘s ‘Cant Stop Playing’ (Makes Me High). /  / His latest single ‘Colour In Shadows’ feat Benji was premiered on Radio1xtra with Mistajam and is looking set to be a 2015 Summer Anthem with the B side dancefloor roller ‘No More Heroes’ smashing the beatport charts once again. /  / ► S-Doobie (Happy Birthday!) / DnB Tuesdays // MIA // Cybergroove / www.facebook.com/DjSDoobie / www.soundcloud.com/sdoobie /  / ► Meraki - LV / Best Drum&Bass // So Stoked // 303 Family / https://soundcloud.com/merakidj /  / ► 1kHz / DnB Tuesdays / https://www.facebook.com/1khz206/ /  / -- / Cover $5| Drink Specials | 21+ | Every Tuesday / Open Decks 9-10PM - CD or USB only / __________________________________________ / Thank YOU for your support of DNB Tuesdays! / Follow us here: / https://twitter.com/DnBtuesdays / https://www.facebook.com/dnbtuesdays / http://instagram.com/dnbtuesdays_sea/ / https://soundcloud.com/dnbtuesday / https://twitch.tv/dnbtuesdayssea / DNB Tuesdays - Bringing you over 21 dedicated years of Drum and Bass artists, and local talent in Seattle! /  / Re-bar 1114 Howell St Seattle WA 98101 / www.rebarseattle.com / 21+ w/ID / ADA Accessible","Cyantific, S-Doobie, Meraki, 1kHz",https://www.residentadvisor.net/events/1365600,Re-Bar,seattle,Camp Gateway - Staten Island,https://www.rei.com/campgrounds/camp/115197387/camp-gateway-staten-island,40.6036,-74.0588,https://www.tripadvisor.com.br/Attractions-g60878-Activities-Seattle_Washington.html,'47.6166458', '-122.3310731'
